current_stock,running_stock,quantity,unit_price,transaction_cost,section_id,brand,supplier,location,manager,section_name,transaction_type,unit_of_measure,performed_by,transaction_date,stock_level
94,89,64,36.81,44.4,19,Brand D,Supplier Z,Depot 2,Manager 2,Section A,Sale,Pieces,User2,2024-04-26,Very High
25,12,8,148.15,412.82,1,Brand D,Supplier Y,Depot 2,Manager 2,Section A,Sale,Kg,User2,2024-08-12,Low
49,45,17,577.2,441.1,20,Brand D,Supplier Y,Depot 2,Manager 3,Section C,Return,Kg,User1,2024-01-15,Perfect
11,12,10,679.88,54.66,1,Brand C,Supplier Y,Depot 2,Manager 3,Section C,Purchase,Pieces,User3,2024-07-05,Low
23,14,10,939.94,29.19,18,Brand B,Supplier Y,Depot 1,Manager 1,Section C,Purchase,Kg,User1,2024-11-06,Low
7,3,4,640.55,376.99,4,Brand C,Supplier X,Depot 2,Manager 1,Section A,Sale,Pieces,User2,2024-11-09,Very Low
86,85,51,561.07,129.37,11,Brand B,Supplier Y,Depot 1,Manager 2,Section A,Sale,Boxes,User2,2024-02-04,Very High
10,8,1,717.15,9.64,7,Brand D,Supplier X,Depot 1,Manager 3,Section B,Sale,Boxes,User1,2024-01-15,Very Low
82,99,58,659.25,212.11,15,Brand A,Supplier Y,Depot 1,Manager 2,Section B,Return,Kg,User2,2024-11-11,Very High
17,14,6,366.56,91.83,1,Brand B,Supplier X,Depot 3,Manager 2,Section A,Return,Pieces,User1,2024-06-16,Low
9,5,5,510.88,331.16,4,Brand C,Supplier Y,Depot 2,Manager 3,Section B,Purchase,Kg,User3,2024-11-15,Very Low
11,24,11,794.8,240.84,18,Brand D,Supplier Y,Depot 1,Manager 3,Section C,Return,Kg,User1,2024-05-19,Low
50,34,18,158.77,189.94,9,Brand A,Supplier Y,Depot 1,Manager 1,Section C,Sale,Pieces,User3,2024-08-16,Perfect
57,56,34,355.87,452.35,3,Brand A,Supplier Z,Depot 1,Manager 3,Section A,Purchase,Boxes,User1,2024-01-18,High
1,9,4,562.02,387.43,6,Brand D,Supplier X,Depot 2,Manager 2,Section C,Sale,Boxes,User3,2024-06-21,Very Low
71,74,38,565.7,322.53,16,Brand A,Supplier X,Depot 2,Manager 2,Section B,Sale,Kg,User3,2024-01-29,High
83,83,78,716.77,288.86,17,Brand C,Supplier Z,Depot 1,Manager 1,Section C,Sale,Kg,User2,2024-10-02,Very High
31,42,21,193.13,171.85,14,Brand D,Supplier Y,Depot 2,Manager 1,Section B,Return,Kg,User3,2024-06-03,Perfect
12,19,13,71.02,66.5,20,Brand D,Supplier X,Depot 3,Manager 3,Section B,Sale,Kg,User1,2024-12-30,Low
33,47,20,413.11,201.66,16,Brand B,Supplier Y,Depot 2,Manager 1,Section C,Sale,Boxes,User3,2024-11-21,Perfect
22,25,10,482.05,349.71,19,Brand D,Supplier X,Depot 2,Manager 3,Section B,Return,Boxes,User3,2024-04-14,Low
98,82,53,206.4,377.3,16,Brand C,Supplier X,Depot 3,Manager 3,Section A,Return,Pieces,User3,2024-01-15,Very High
13,15,6,449.09,222.89,9,Brand A,Supplier Z,Depot 2,Manager 3,Section C,Return,Boxes,User1,2024-01-04,Low
7,4,2,453.18,283.77,15,Brand C,Supplier X,Depot 2,Manager 2,Section A,Purchase,Boxes,User1,2024-02-04,Very Low
26,37,21,550.8,419.0,1,Brand C,Supplier X,Depot 1,Manager 1,Section B,Purchase,Kg,User3,2024-01-26,Perfect
79,81,59,827.11,22.92,3,Brand D,Supplier Z,Depot 2,Manager 3,Section A,Return,Pieces,User1,2024-10-24,Very High
94,78,75,303.54,445.42,15,Brand B,Supplier Y,Depot 3,Manager 3,Section A,Sale,Pieces,User3,2024-03-04,Very High
37,27,18,746.52,112.53,9,Brand B,Supplier X,Depot 3,Manager 3,Section A,Return,Pieces,User3,2024-02-21,Perfect
82,88,77,237.71,167.21,20,Brand B,Supplier Y,Depot 2,Manager 3,Section B,Sale,Boxes,User1,2024-08-25,Very High
88,83,72,117.32,40.18,10,Brand B,Supplier X,Depot 2,Manager 2,Section C,Sale,Boxes,User3,2024-09-25,Very High
15,14,6,545.65,187.98,12,Brand D,Supplier X,Depot 1,Manager 2,Section A,Return,Boxes,User3,2024-04-13,Low
59,56,44,898.71,469.49,1,Brand B,Supplier Y,Depot 2,Manager 1,Section B,Purchase,Boxes,User3,2024-08-15,High
39,26,16,435.65,221.52,2,Brand A,Supplier X,Depot 3,Manager 1,Section A,Return,Pieces,User2,2024-02-15,Perfect
45,47,25,251.45,401.53,15,Brand C,Supplier X,Depot 3,Manager 3,Section B,Purchase,Kg,User1,2024-04-09,Perfect
21,23,12,380.11,70.04,13,Brand B,Supplier X,Depot 2,Manager 3,Section C,Purchase,Boxes,User3,2024-06-10,Low
97,94,71,956.55,249.57,6,Brand A,Supplier X,Depot 2,Manager 3,Section A,Sale,Kg,User2,2024-03-20,Very High
97,100,61,122.5,490.59,14,Brand B,Supplier X,Depot 2,Manager 1,Section A,Purchase,Kg,User2,2024-02-24,Very High
58,54,49,169.66,379.27,17,Brand A,Supplier Z,Depot 2,Manager 1,Section C,Purchase,Kg,User2,2024-12-19,High
40,35,27,94.52,237.54,19,Brand B,Supplier Y,Depot 1,Manager 1,Section B,Sale,Boxes,User1,2024-07-12,Perfect
7,7,1,139.95,72.41,7,Brand A,Supplier Y,Depot 2,Manager 1,Section C,Purchase,Kg,User1,2024-10-20,Very Low
50,45,25,993.21,74.22,11,Brand B,Supplier Y,Depot 3,Manager 3,Section C,Sale,Pieces,User2,2024-10-19,Perfect
6,7,5,592.72,211.02,15,Brand A,Supplier X,Depot 2,Manager 1,Section A,Purchase,Pieces,User3,2024-01-20,Very Low
68,64,40,878.1,44.87,10,Brand A,Supplier X,Depot 1,Manager 3,Section C,Return,Pieces,User1,2024-03-15,High
70,54,43,781.19,117.41,2,Brand D,Supplier Z,Depot 3,Manager 3,Section A,Return,Boxes,User3,2024-12-28,High
92,79,64,328.68,95.54,10,Brand A,Supplier Y,Depot 2,Manager 1,Section A,Sale,Pieces,User3,2024-05-13,Very High
39,26,25,192.61,499.43,11,Brand B,Supplier X,Depot 2,Manager 1,Section B,Return,Pieces,User1,2024-02-09,Perfect
38,38,27,332.15,165.62,6,Brand D,Supplier Y,Depot 3,Manager 3,Section C,Purchase,Boxes,User1,2024-08-07,Perfect
39,27,20,590.83,364.61,3,Brand B,Supplier X,Depot 3,Manager 1,Section C,Purchase,Pieces,User1,2024-04-28,Perfect
21,23,12,147.19,307.91,5,Brand B,Supplier Y,Depot 1,Manager 3,Section B,Sale,Boxes,User1,2024-01-30,Low
70,63,49,196.99,151.77,11,Brand A,Supplier Y,Depot 1,Manager 3,Section C,Return,Boxes,User2,2024-09-19,High
52,72,43,787.76,161.51,4,Brand C,Supplier Y,Depot 2,Manager 2,Section B,Purchase,Boxes,User3,2024-10-10,High
6,5,1,614.5,127.16,7,Brand A,Supplier X,Depot 3,Manager 2,Section B,Purchase,Kg,User1,2024-10-31,Very Low
69,55,49,47.45,359.19,8,Brand C,Supplier Y,Depot 3,Manager 1,Section C,Return,Boxes,User3,2024-04-22,High
15,21,7,381.89,206.16,9,Brand D,Supplier X,Depot 2,Manager 2,Section C,Sale,Kg,User2,2024-06-12,Low
41,41,29,97.99,381.53,3,Brand A,Supplier Z,Depot 3,Manager 3,Section C,Return,Pieces,User3,2024-08-23,Perfect
90,78,66,119.8,349.5,5,Brand B,Supplier Y,Depot 3,Manager 2,Section A,Sale,Kg,User1,2024-03-21,Very High
82,88,65,453.12,471.72,18,Brand D,Supplier Y,Depot 3,Manager 3,Section B,Purchase,Boxes,User1,2024-05-27,Very High
69,55,38,799.12,122.98,10,Brand B,Supplier Z,Depot 2,Manager 1,Section B,Return,Kg,User1,2024-07-21,High
78,86,65,589.26,228.11,17,Brand C,Supplier X,Depot 3,Manager 1,Section A,Purchase,Kg,User2,2024-06-18,Very High
59,65,34,540.27,54.78,13,Brand B,Supplier Y,Depot 3,Manager 3,Section C,Purchase,Boxes,User2,2024-03-06,High
46,34,21,277.14,54.36,7,Brand B,Supplier Z,Depot 2,Manager 1,Section A,Return,Boxes,User2,2024-11-06,Perfect
10,7,2,249.22,423.12,16,Brand D,Supplier Z,Depot 3,Manager 2,Section A,Sale,Boxes,User2,2024-02-28,Very Low
55,55,42,236.19,72.3,15,Brand B,Supplier X,Depot 3,Manager 2,Section C,Return,Pieces,User2,2024-04-15,High
29,33,23,293.4,117.08,4,Brand B,Supplier X,Depot 2,Manager 1,Section A,Return,Boxes,User3,2024-02-28,Perfect
7,6,5,879.84,397.48,19,Brand A,Supplier Z,Depot 2,Manager 2,Section B,Purchase,Pieces,User1,2024-08-12,Very Low
69,65,49,350.74,453.91,6,Brand B,Supplier Z,Depot 2,Manager 3,Section B,Purchase,Boxes,User1,2024-03-05,High
45,29,23,603.68,410.31,16,Brand A,Supplier Y,Depot 1,Manager 2,Section B,Return,Kg,User1,2024-08-26,Perfect
8,5,5,610.68,494.66,13,Brand B,Supplier Y,Depot 1,Manager 1,Section C,Purchase,Pieces,User1,2024-06-12,Very Low
72,69,42,945.76,364.91,10,Brand A,Supplier Y,Depot 2,Manager 3,Section C,Sale,Pieces,User3,2024-08-20,High
6,5,1,185.22,332.58,3,Brand A,Supplier Y,Depot 3,Manager 2,Section C,Sale,Boxes,User3,2024-11-16,Very Low
24,13,7,509.31,334.01,7,Brand C,Supplier X,Depot 1,Manager 1,Section B,Sale,Boxes,User3,2024-04-24,Low
11,11,8,749.25,279.38,7,Brand B,Supplier Y,Depot 2,Manager 3,Section C,Return,Boxes,User2,2024-09-23,Low
86,79,57,560.01,438.17,16,Brand C,Supplier X,Depot 2,Manager 3,Section C,Return,Pieces,User2,2024-02-16,Very High
31,45,28,613.84,55.3,14,Brand C,Supplier Y,Depot 1,Manager 1,Section B,Sale,Boxes,User3,2024-01-16,Perfect
46,27,27,924.27,346.74,2,Brand A,Supplier Y,Depot 1,Manager 1,Section A,Return,Boxes,User3,2024-02-23,Perfect
86,83,56,702.68,65.54,20,Brand D,Supplier X,Depot 2,Manager 3,Section B,Sale,Boxes,User3,2024-02-07,Very High
10,3,2,301.29,228.08,7,Brand D,Supplier Z,Depot 2,Manager 1,Section A,Sale,Pieces,User3,2024-03-03,Very Low
58,53,35,231.4,491.69,11,Brand B,Supplier Z,Depot 1,Manager 1,Section B,Sale,Pieces,User3,2024-05-05,High
18,14,9,962.71,88.56,3,Brand C,Supplier X,Depot 1,Manager 3,Section C,Sale,Pieces,User3,2024-04-07,Low
34,45,16,183.07,446.57,7,Brand B,Supplier Y,Depot 3,Manager 1,Section A,Return,Kg,User1,2024-05-19,Perfect
26,36,27,141.39,375.18,19,Brand A,Supplier Y,Depot 2,Manager 3,Section A,Sale,Boxes,User3,2024-02-07,Perfect
74,66,39,525.28,486.77,10,Brand C,Supplier Y,Depot 1,Manager 1,Section A,Sale,Kg,User2,2024-01-25,High
82,94,79,689.88,272.15,3,Brand D,Supplier Z,Depot 2,Manager 1,Section B,Purchase,Kg,User3,2024-09-19,Very High
48,38,19,680.85,400.94,1,Brand D,Supplier Z,Depot 2,Manager 2,Section C,Return,Kg,User2,2024-06-15,Perfect
50,30,26,610.69,387.69,14,Brand C,Supplier Z,Depot 2,Manager 3,Section A,Purchase,Pieces,User1,2024-04-13,Perfect
40,41,29,998.42,10.33,13,Brand B,Supplier Y,Depot 1,Manager 2,Section C,Sale,Boxes,User3,2024-06-11,Perfect
26,34,25,238.1,391.86,18,Brand B,Supplier Y,Depot 1,Manager 2,Section A,Purchase,Pieces,User3,2024-02-04,Perfect
4,5,0,417.96,391.54,8,Brand A,Supplier X,Depot 3,Manager 1,Section B,Purchase,Kg,User2,2024-04-09,Very Low
40,49,17,928.07,381.12,13,Brand C,Supplier X,Depot 2,Manager 3,Section B,Purchase,Boxes,User2,2024-01-26,Perfect
8,5,4,726.39,178.41,9,Brand C,Supplier Z,Depot 1,Manager 1,Section C,Sale,Kg,User3,2024-06-12,Very Low
11,25,7,874.81,263.1,15,Brand C,Supplier Y,Depot 3,Manager 3,Section B,Return,Boxes,User2,2024-02-29,Low
34,26,17,961.75,278.12,19,Brand B,Supplier Z,Depot 1,Manager 2,Section A,Sale,Boxes,User1,2024-07-26,Perfect
100,92,72,330.99,470.76,8,Brand C,Supplier X,Depot 2,Manager 1,Section C,Sale,Pieces,User1,2024-03-21,Very High
27,34,17,643.54,473.51,19,Brand D,Supplier Y,Depot 1,Manager 1,Section C,Sale,Boxes,User3,2024-11-03,Perfect
4,7,2,808.88,278.21,18,Brand C,Supplier X,Depot 1,Manager 2,Section B,Purchase,Boxes,User2,2024-09-10,Very Low
91,81,80,729.15,39.36,15,Brand B,Supplier Y,Depot 1,Manager 3,Section A,Sale,Kg,User1,2024-04-14,Very High
57,56,41,848.35,120.02,1,Brand D,Supplier Y,Depot 3,Manager 2,Section B,Sale,Pieces,User2,2024-09-01,High
23,16,14,677.7,434.81,2,Brand B,Supplier X,Depot 2,Manager 2,Section B,Sale,Boxes,User3,2024-10-09,Low
1,1,3,623.43,91.84,10,Brand D,Supplier Z,Depot 2,Manager 2,Section C,Purchase,Kg,User3,2024-07-01,Very Low
79,89,69,482.72,18.92,3,Brand B,Supplier X,Depot 2,Manager 2,Section B,Return,Kg,User2,2024-09-23,Very High
2,7,3,186.72,59.02,9,Brand B,Supplier Z,Depot 2,Manager 3,Section B,Sale,Boxes,User2,2024-05-27,Very Low
53,58,47,152.84,214.8,18,Brand C,Supplier Y,Depot 2,Manager 2,Section B,Purchase,Kg,User3,2024-12-04,High
21,14,13,888.12,127.59,20,Brand A,Supplier Z,Depot 2,Manager 1,Section A,Sale,Boxes,User3,2024-11-11,Low
76,91,78,320.92,118.4,11,Brand A,Supplier Y,Depot 1,Manager 1,Section C,Sale,Kg,User2,2024-06-22,Very High
62,56,47,909.52,293.32,17,Brand D,Supplier Y,Depot 2,Manager 3,Section A,Sale,Boxes,User1,2024-12-31,High
29,27,16,594.19,45.59,14,Brand A,Supplier Z,Depot 3,Manager 3,Section C,Purchase,Pieces,User2,2024-09-17,Perfect
48,50,20,460.36,376.83,3,Brand C,Supplier Y,Depot 2,Manager 3,Section B,Sale,Kg,User3,2024-07-09,Perfect
19,11,8,440.94,14.59,8,Brand D,Supplier Z,Depot 2,Manager 1,Section A,Sale,Pieces,User2,2024-02-10,Low
5,7,1,218.52,274.49,9,Brand B,Supplier Z,Depot 2,Manager 3,Section C,Return,Boxes,User3,2024-06-02,Very Low
25,21,14,617.45,19.55,13,Brand A,Supplier Z,Depot 1,Manager 1,Section A,Return,Kg,User2,2024-05-08,Low
39,47,16,138.97,431.88,16,Brand C,Supplier Y,Depot 3,Manager 3,Section C,Purchase,Kg,User3,2024-12-07,Perfect
15,11,12,369.14,273.21,14,Brand D,Supplier Y,Depot 3,Manager 2,Section B,Purchase,Boxes,User1,2024-09-05,Low
1,10,1,368.42,404.71,3,Brand A,Supplier Z,Depot 1,Manager 1,Section A,Return,Boxes,User3,2024-09-24,Very Low
2,6,1,596.35,276.43,2,Brand D,Supplier Y,Depot 3,Manager 1,Section C,Sale,Pieces,User1,2024-04-14,Very Low
16,18,15,345.46,379.15,5,Brand A,Supplier Y,Depot 1,Manager 1,Section B,Sale,Kg,User1,2024-07-19,Low
6,10,5,208.86,21.11,19,Brand B,Supplier Z,Depot 2,Manager 3,Section C,Sale,Boxes,User1,2024-03-19,Very Low
3,7,3,244.0,245.27,12,Brand A,Supplier Y,Depot 2,Manager 2,Section C,Sale,Kg,User2,2024-02-12,Very Low
35,42,24,988.46,110.73,14,Brand D,Supplier Y,Depot 1,Manager 3,Section B,Sale,Pieces,User1,2024-01-16,Perfect
14,17,12,831.18,295.58,16,Brand A,Supplier X,Depot 3,Manager 3,Section B,Sale,Pieces,User2,2024-08-15,Low
20,16,13,233.02,201.67,4,Brand D,Supplier Y,Depot 1,Manager 2,Section C,Sale,Pieces,User3,2024-04-18,Low
9,9,0,127.14,67.32,18,Brand D,Supplier X,Depot 3,Manager 3,Section C,Purchase,Pieces,User1,2024-08-27,Very Low
2,2,4,956.58,116.06,8,Brand A,Supplier Y,Depot 1,Manager 1,Section C,Sale,Kg,User1,2024-10-16,Very Low
57,54,35,265.26,414.76,4,Brand A,Supplier X,Depot 3,Manager 2,Section A,Purchase,Boxes,User3,2024-09-03,High
95,86,64,580.35,462.78,12,Brand D,Supplier Z,Depot 2,Manager 2,Section B,Return,Kg,User3,2024-12-08,Very High
79,84,77,333.54,487.26,4,Brand A,Supplier Y,Depot 2,Manager 3,Section C,Return,Boxes,User1,2024-08-24,Very High
87,93,72,466.16,459.08,10,Brand B,Supplier Z,Depot 2,Manager 1,Section A,Sale,Boxes,User3,2024-11-14,Very High
24,17,12,621.31,83.31,3,Brand C,Supplier Z,Depot 3,Manager 3,Section A,Return,Boxes,User3,2024-05-12,Low
0,1,2,414.49,11.8,10,Brand C,Supplier Y,Depot 3,Manager 2,Section B,Sale,Kg,User3,2024-06-03,Very Low
24,15,9,966.85,37.06,6,Brand A,Supplier Z,Depot 1,Manager 1,Section C,Sale,Boxes,User3,2024-12-24,Low
41,45,29,226.77,68.86,3,Brand D,Supplier Z,Depot 1,Manager 3,Section C,Sale,Pieces,User2,2024-01-14,Perfect
94,78,71,119.51,324.48,17,Brand B,Supplier Y,Depot 3,Manager 2,Section A,Purchase,Pieces,User2,2024-11-25,Very High
6,2,2,907.15,371.61,3,Brand A,Supplier X,Depot 3,Manager 2,Section B,Sale,Kg,User2,2024-09-01,Very Low
35,41,25,942.2,96.08,1,Brand A,Supplier Z,Depot 2,Manager 2,Section B,Return,Kg,User3,2024-07-23,Perfect
91,91,54,871.54,377.32,13,Brand A,Supplier Y,Depot 1,Manager 2,Section A,Purchase,Pieces,User2,2024-12-25,Very High
13,21,14,348.67,116.75,20,Brand B,Supplier Z,Depot 2,Manager 3,Section B,Sale,Kg,User2,2024-03-26,Low
22,17,14,953.33,209.5,7,Brand C,Supplier X,Depot 2,Manager 2,Section B,Return,Kg,User1,2024-11-14,Low
18,23,12,104.79,31.29,8,Brand A,Supplier Y,Depot 1,Manager 2,Section C,Sale,Kg,User3,2024-12-10,Low
49,48,23,711.14,145.06,4,Brand A,Supplier Y,Depot 2,Manager 3,Section A,Sale,Boxes,User3,2024-01-09,Perfect
97,82,66,79.72,44.53,5,Brand C,Supplier Y,Depot 2,Manager 2,Section A,Return,Boxes,User1,2024-07-20,Very High
5,6,3,985.71,445.77,20,Brand A,Supplier Y,Depot 3,Manager 1,Section A,Return,Pieces,User2,2024-05-10,Very Low
8,0,1,936.11,195.97,13,Brand D,Supplier Y,Depot 2,Manager 3,Section B,Sale,Boxes,User2,2024-04-21,Very Low
29,48,16,913.95,477.53,3,Brand C,Supplier Z,Depot 3,Manager 2,Section C,Purchase,Kg,User1,2024-01-14,Perfect
68,75,38,648.83,466.53,12,Brand A,Supplier X,Depot 3,Manager 2,Section C,Purchase,Kg,User1,2024-05-14,High
44,43,20,957.95,381.68,13,Brand A,Supplier X,Depot 1,Manager 3,Section A,Sale,Kg,User1,2024-06-15,Perfect
26,29,29,646.48,140.8,10,Brand C,Supplier Y,Depot 2,Manager 3,Section A,Return,Boxes,User2,2024-03-03,Perfect
83,82,59,431.52,227.57,4,Brand C,Supplier X,Depot 3,Manager 3,Section B,Sale,Kg,User2,2024-04-03,Very High
11,16,12,482.28,38.76,7,Brand D,Supplier Z,Depot 1,Manager 3,Section A,Purchase,Boxes,User2,2024-09-18,Low
55,67,43,425.79,382.1,11,Brand C,Supplier Z,Depot 3,Manager 3,Section B,Purchase,Kg,User2,2024-05-20,High
25,13,11,273.7,213.89,19,Brand A,Supplier Z,Depot 2,Manager 1,Section B,Return,Pieces,User1,2024-11-04,Low
93,97,80,696.9,187.34,7,Brand A,Supplier Y,Depot 2,Manager 3,Section A,Purchase,Pieces,User3,2024-02-04,Very High
9,5,4,885.82,460.14,14,Brand B,Supplier X,Depot 1,Manager 2,Section C,Return,Kg,User3,2024-12-19,Very Low
85,79,69,760.4,153.21,8,Brand B,Supplier X,Depot 2,Manager 2,Section B,Purchase,Boxes,User3,2024-08-15,Very High
53,54,44,162.45,52.02,17,Brand C,Supplier Z,Depot 2,Manager 3,Section C,Return,Pieces,User2,2024-04-30,High
39,29,24,540.82,460.07,18,Brand B,Supplier Z,Depot 1,Manager 3,Section B,Sale,Pieces,User3,2024-02-08,Perfect
28,29,19,459.63,28.15,19,Brand A,Supplier Y,Depot 3,Manager 3,Section C,Sale,Pieces,User2,2024-02-19,Perfect
40,50,16,373.42,229.59,16,Brand B,Supplier X,Depot 3,Manager 2,Section A,Sale,Kg,User1,2024-05-22,Perfect
71,54,46,659.32,40.97,5,Brand D,Supplier Y,Depot 1,Manager 2,Section C,Return,Boxes,User3,2024-07-14,High
19,22,13,312.75,341.0,13,Brand C,Supplier Z,Depot 2,Manager 2,Section B,Purchase,Kg,User2,2024-11-12,Low
